@id	name	brand	addr:district	addr:street	addr:city	@lat	@lon
436955829	Plaza Vea			Avenida Alejandro Iglesias		-12.1684731	-77.0256121
437040087	Bodega Ocana					-12.2967253	-76.8507995
437040089	Bodega Eti					-12.2961489	-76.8513760
437195708	Strip Mall 28 de Julio					-12.1294741	-77.0222621
437316547	Metro Atocongo			Avenida Los Héroes	San Juan de Miraflores	-12.1498895	-76.9805780
437322587	Mercado Kiwi					-12.1754418	-77.0189506
437322588	Tottus Chorrillos		Chorrillos	Avenida Defensores del Morro		-12.1760622	-77.0182793
437323724	Mercado Super Mach			Avenida Defensores del Morro	Chorrillos	-12.1822866	-77.0124170
437323829	"Mercado ""Pamplona Baja"""					-12.1485078	-76.9742167
437325557	Repshop					-12.2735123	-76.8724695
437328300						-12.2592725	-76.8849858
437344738	Espinoza			Antigua Panamericana Sur		-12.2624958	-76.8829126
437347281	Tambo+	Tambo+				-12.1129405	-77.0211849
