CODIGO INEI;CODIGO CPNP;NOMBREDD;NOMBREPP;NOMBREDI;GPS;MACREGPOL/FP;REGPOL;DIVPOL/DIVOPUS;COMISARÍA;TIPO*;RURAL*;SECTORIAL*;ZONAL*;;;
1192;5438;APURIMAC;GRAU;GAMARRA;-13.87203056,-72.50856561;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP PALPACACHI-MARISCAL GAMARRA;E;X;;;;;
1180;5440;APURIMAC;AYMARAES;CHALHUANCA;-14.29523923,-73.24763498;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP CHALHUANCA-AYMARAES;C;;X;;;;
1179;5445;APURIMAC;ANTABAMBA;PACHACONAS;-14.22348574,-73.01631968;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP PACHACONAS;E;X;;;;;
1181;5450;APURIMAC;AYMARAES;COTARUSE;-14.41532933,-73.20524655;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP COTARUSE;E;X;;;;;
1178;5452;APURIMAC;ANTABAMBA;OROPESA;-14.26037045,-72.56335404;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP TOTORA-OROPESA;E;X;;;;;
1182;5454;APURIMAC;AYMARAES;TAPAIRIHUA;-14.14152577,-73.14044208;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP TAPAYRIHUA;E;X;;;;;
1177;5456;APURIMAC;ANTABAMBA;ANTABAMBA;-14.36750001,-72.87280001;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP ANTABAMBA;C;;X;;;;
1183;5457;APURIMAC;AYMARAES;TINTAY;-13.96041507,-73.18352279;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP TINTAY;E;X;;;;;
0736;5460;APURIMAC;COTABAMBAS;COTABAMBAS;-13.7476,-72.357056;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP COTABAMBAS;E;X;;;;;
5036;5461;APURIMAC;COTABAMBAS;MARA;-14.08645351,-72.10228731;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP MARA;C;X;;;;;
0737;5462;APURIMAC;COTABAMBAS;COYLLURQUI;-13.83721338,-72.43218474;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP CCOYLLURQUI;E;X;;;;;
0738;5464;APURIMAC;COTABAMBAS;HAQUIRA;-14.21388045,-72.18944681;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP HAQUIRA;C;X;;;;;
0739;5465;APURIMAC;COTABAMBAS;CHALLHUAHUACHO;-14.11842109,-72.24616186;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP CHALLHUAHUACHO;B;X;X;;;;
0735;5466;APURIMAC;COTABAMBAS;TAMBOBAMBA;-13.94843956,-72.17535691;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP TAMBOBAMBA;C;;X;;;;
1156;5489;APURIMAC;ABANCAY;ABANCAY;-13.63665317,-72.87784842;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP ABANCAY;A;;;;;;
1191;7850;APURIMAC;GRAU;CHUQUIBAMBILLA;-14.10328455,-72.70692152;APURIMAC;APURIMAC;DIVOPUS ABANCAY;CPNP GRAU;C;;X;;;;
1165;5468;APURIMAC;ANDAHUAYLAS;ANDAHUAYLAS;-13.65659553,-73.38469236;APURIMAC;APURIMAC;DIVOPUS ANDAHUAYLAS;CPNP ANDAHUAYLAS;A;;X;;;;
