pagina,precio,mantenimiento,direccion,ubicacion,area,dorm,banios,estac,URL
135,"S/ 1,600",S/ 50 Mantenimiento,parque villa alegre surco,"Santiago de Surco, Lima",66 m² tot.,2 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-en-alquiler-parque-villa-alegre-surco-147330307.html
135,"S/ 3,905 · USD 1,100",,Av. Javier Prado Oeste 2180,"San Isidro, Lima",75 m² tot.,3 dorm.,2 baños,2 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-de-flat-en-el-corazon-de-san-isidro-147329647.html
135,"S/ 2,700 · USD 750",S/ 420 Mantenimiento,Dirección no informada,"Armendariz, Miraflores",85 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-dpto-de-2dorm.-miraflores-cerca-a-larcomar-146733654.html
135,"S/ 2,380 · USD 680",S/ 450 Mantenimiento,Dirección no informada,"Barranco, Lima",40 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-lindo-flat-tipo-estudio-con-linda-vista-147327680.html
135,"S/ 1,800",S/ 250 Mantenimiento,Avenida Jorge Chávez,"Barranco, Lima",42 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclappa-departamento-de-estreno-en-alquiler-barranco-urbano-147325463.html
135,"S/ 2,200",S/ 280 Mantenimiento,Avenida Costanera,"San Miguel, Lima",73 m² tot.,3 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-departamento-oferta-142662261.html
135,"S/ 3,200 · USD 900",S/ 395 Mantenimiento,Manuel tovar 535,"Miraflores, Lima",78 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-en-la-mejor-zona-de-miraflores-con-fondo-a-147065617.html
136,"S/ 2,100 · USD 600",S/ 191 Mantenimiento,tarata 220,"Miraflores, Lima",60 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-ideal-departamento-en-alquiler-en-tarata-miraflores-147323630.html
136,"S/ 3,300 · USD 850",S/ 350 Mantenimiento,Parque Francisco Graña 260,"Magdalena, Lima",170 m² tot.,3 dorm.,3 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-moderno-dpto-con-vista-a-parque-limite-san-isidro-142564446.html
136,"S/ 2,500",S/ 300 Mantenimiento,JR.FIDELLI,"Barranco, Lima",75 m² tot.,2 dorm.,2 baños,,https://www.adondevivir.com/propiedades/clasificado/alclapin-bonito-departamento-147309086.html
136,"S/ 2,700 · USD 750",S/ 150 Mantenimiento,Calle Los Mirtos 590 lince,"Lince, Lima",47 m² tot.,1 dorm.,1 baño,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-moderno-departamento-1-dormitorio-1-147299255.html
136,"S/ 2,800 · USD 800",,Av. Brasil,"Udima, Magdalena",82 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquila-tu-nuevo-hogar-en-magdalena-estreno-83-147298982.html
136,"S/ 2,500",,C. Loma de los Nardos 215 Mz.G5 L,"Santiago de Surco, Lima",83 m² tot.,3 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-departamento-de-estreno-en-alquiler-en-el-distrito-de-147295296.html
136,"S/ 2,750 · USD 790",S/ 200 Mantenimiento,Av. Almirante Miguel Grau 1130,"Barranco, Lima",45 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-hermoso-depa-amoblado-y-estreno-en-artline-145091310.html
136,"S/ 1,650 · USD 480",S/ 177 Mantenimiento,calle los pinos,"Miraflores, Lima",30 m² tot.,1 dorm.,1 baño,,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquiler-1-dormitorio-1-bano-amoblado-miraflores-147287666.html
136,"S/ 2,840 · USD 800",S/ 320 Mantenimiento,Paseo de la Republica 6330,"Miraflores, Lima",117 m² tot.,2 dorm.,2 baños,1 estac.,https://www.adondevivir.com/propiedades/clasificado/alclapin-alquilo-ampl-departamento-2-dorm-117-m-sup2--paseo-147284830.html
