mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
380.0,82.0,3.0,2.0,1.0,21.0,14,0,7,3,675000.0
1500.0,202.0,3.0,3.0,2.0,2.0,4,0,7,2,2516000.0
500.0,106.0,3.0,2.0,2.0,11.0,7,0,7,3,735640.0
350.0,71.0,2.0,2.0,1.0,14.0,4,0,7,2,595000.0
390.0,96.0,2.0,2.0,1.0,6.0,14,3,7,3,697000.0
1000.0,643.0,5.0,4.0,2.0,18.0,5,0,7,2,2610000.0
850.0,203.0,3.0,2.0,2.0,40.0,3,0,7,1,1650000.0
,282.0,3.0,2.0,5.0,15.0,0,0,7,1,2445000.0
,131.0,2.0,1.0,0.0,0.0,2,0,7,2,999000.0
100.0,88.0,2.0,2.0,0.0,36.0,5,0,7,2,575890.0
,100.0,3.0,2.0,0.0,0.0,6,1,7,1,782300.0
,135.0,2.0,2.0,1.0,1.0,17,0,7,1,1365000.0
,7700.0,20.0,20.0,25.0,15.0,0,0,7,1,3326400.0
,98.0,2.0,2.0,1.0,5.0,7,0,7,3,923000.0
,187.0,3.0,2.0,2.0,9.0,5,0,7,2,1532287.0
350.0,80.0,2.0,2.0,1.0,4.0,4,1,7,1,601082.0
550.0,161.0,3.0,2.0,2.0,28.0,11,1,7,1,1120000.0
1250.0,111.0,3.0,2.0,2.0,14.0,8,0,7,2,816000.0
,226.0,5.0,4.0,1.0,50.0,0,0,7,1,2046300.0
1800.0,545.0,5.0,5.0,3.0,26.0,3,0,7,1,4857500.0
799.0,149.0,2.0,3.0,2.0,14.0,14,0,7,1,1099350.0
,348.0,4.0,4.0,4.0,36.0,23,0,7,4,3149128.0
,111.0,3.0,2.0,2.0,14.0,6,0,7,1,880600.0
250.0,81.0,1.0,2.0,1.0,3.0,12,0,7,2,695000.0
70.0,176.0,3.0,3.0,2.0,23.0,6,0,7,2,1117710.0
,246.0,3.0,4.0,2.0,0.0,13,0,7,2,1621400.0
600.0,213.0,4.0,4.0,2.0,10.0,10,1,7,1,1276800.0
190.0,37.0,1.0,1.0,0.0,0.0,9,0,7,3,444000.0
1.0,83.0,3.0,2.0,1.0,0.0,4,0,7,3,848160.0
,321.0,3.0,2.0,2.0,25.0,7,0,7,2,2219910.0
