precio_pen,precio_usd,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,num_visualizaciones,fecha_pub,distrito,nivel_socioeconomico,URL,direccion_completa
284034.0,74746.0,,1149.0,,,,0.0,33.0,2025-10-04,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-imperial-147790398.html?n_src=Listado&n_pills=Piscina&n_pg=3&n_pos=28,"condominio los arandanos - paradero la victoria imperial carretera a quilmana canete lima 1, canete"
280000.0,80000.0,,83.0,3.0,2.0,,11.0,169.0,2025-11-15,los olivos,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-venta-departamento-con-ascensor-3-dorm.-urb.-148199509.html?n_src=Listado&n_pills=Seguridad&n_pg=3&n_pos=29,"calle ordoner vargas num 110 dpto 304 - tercer piso urb villa sol primera etapa lima 15306 peru, los olivos"
365100.0,,,186.0,,1.0,,30.0,28.0,2026-02-23,smp,C,https://www.adondevivir.com/propiedades/clasificado/vecllcin-entidad-financiera-vende-local-comercial-dos-pisos-149042296.html?n_src=Listado&n_pg=3&n_pos=30,"se vende local comercial en jr loreto no 3854 - san martin de porres - lima_bc-1002-1 / 01294, san martin de porres"
117950.0,35000.0,,140.0,,,,4.0,44.0,2026-04-13,,,https://www.adondevivir.com/propiedades/clasificado/vecltein-terreno-en-venta-en-condominio-alto-bujama-etapa-i-149519527.html?n_src=Listado&n_pills=Gimnasio&n_pg=4&n_pos=11,"condominio alto bujama mz e lote 9 etapa i mala canete lima peru, mala"
768200.0,230000.0,,390.0,1.0,2.0,3.0,15.0,,2026-03-13,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-tipo-bungalow-en-esquina-playa-los-pulpos-149260639.html?n_src=Listado&n_pills=Piscina&n_pg=4&n_pos=12,"playa los pulpos lurin, lima"
299200.0,85000.0,,160.0,4.0,3.0,1.0,10.0,30.0,2026-01-16,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-casa-de-2-pisos-en-venta-160-m-sup2--las-colinas-148663859.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=4&n_pos=13,"calle las colinas de cineguilla mz a lote 9, lima"
325000.0,92500.0,250.0,121.0,3.0,2.0,,8.0,107.0,2026-04-10,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclapin-vendo-departamento-en-1er-piso-en-huachipa-149508531.html?n_src=Listado&n_pills=%C3%81rea+de+lavander%C3%ADa&n_pg=4&n_pos=14,"av las torres al 316, lima"
,,,2479.0,,,,0.0,,2026-03-23,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/vecltein-i-529-venta-de-terreno-industrial-en-zona-149339881.html?n_src=Listado&n_pg=4&n_pos=15,"av maria tesoro, lima"
3906000.0,1050000.0,,2729.0,4.0,4.0,10.0,15.0,63.0,,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclcain-venta-moderna-casa-de-campo-cieneguilla-145175586.html?n_src=Listado&n_pills=Piscina&n_pg=4&n_pos=16,"av tambo viejo mz g, lima"
31796871.0,8500000.0,,10370.0,,,6.0,0.0,15.0,2025-09-23,lima cercado,C,https://www.adondevivir.com/propiedades/clasificado/veclniin-local-industrial-_-av-separadora-industrial-_-ate-147672573.html?n_src=Listado&n_pg=4&n_pos=17,"separadora industrial ate al 230, lima"
