mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,total_servicios_prox,total_transporte_aprox,zona_apeim_cod,categoria_crimenes_cod,precio_pen
,108.0,3.0,2.0,2.0,15.0,8,0,7,1,4140.0
850.0,160.0,3.0,2.0,1.0,8.0,17,3,7,3,6750.0
100.0,60.0,2.0,1.0,0.0,0.0,13,0,7,3,1800.0
250.0,100.0,3.0,2.0,1.0,20.0,2,0,7,1,2400.0
120.0,50.0,1.0,1.0,0.0,7.0,10,0,6,2,1700.0
,75.0,2.0,1.0,0.0,6.0,10,0,7,2,1500.0
300.0,70.0,2.0,1.0,1.0,25.0,10,0,7,1,2900.0
290.0,62.0,2.0,2.0,0.0,4.0,19,0,6,3,2500.0
80.0,19.0,1.0,1.0,0.0,1.0,14,0,6,2,1450.0
,48.0,1.0,1.0,0.0,2.0,13,1,8,3,2200.0
350.0,49.0,1.0,1.0,1.0,12.0,8,0,8,2,2380.0
450.0,70.0,2.0,2.0,0.0,4.0,11,0,8,4,2500.0
610.0,200.0,3.0,3.0,2.0,14.0,5,0,7,1,7770.0
,64.0,3.0,2.0,0.0,0.0,8,0,6,3,1900.0
,42.0,1.0,1.0,0.0,0.0,6,0,7,1,1200.0
,115.0,3.0,2.0,0.0,15.0,14,0,7,4,2400.0
700.0,388.0,3.0,3.0,2.0,7.0,3,0,7,1,7200.0
600.0,134.0,2.0,2.0,2.0,1.0,1,0,7,2,6688.0
200.0,86.0,3.0,2.0,0.0,10.0,20,0,6,2,2100.0
,160.0,3.0,2.0,1.0,12.0,0,0,10,1,4080.0
,60.0,2.0,1.0,0.0,10.0,16,0,6,3,1700.0
400.0,81.0,2.0,2.0,1.0,0.0,0,0,7,1,4000.0
550.0,150.0,2.0,2.0,2.0,10.0,6,0,7,1,6593.0
,79.0,3.0,2.0,0.0,0.0,28,0,2,3,2100.0
185.0,42.0,1.0,1.0,0.0,0.0,24,0,6,2,2100.0
160.0,42.0,1.0,1.0,0.0,0.0,20,0,6,2,1800.0
140.0,58.0,2.0,2.0,0.0,0.0,18,1,6,4,2500.0
220.0,48.0,2.0,2.0,0.0,1.0,12,1,4,2,2000.0
,63.0,2.0,1.0,0.0,14.0,14,0,6,2,1800.0
,60.0,2.0,1.0,0.0,10.0,22,0,6,2,1500.0
105.0,51.0,1.0,1.0,0.0,30.0,9,0,7,1,2000.0
,60.0,2.0,2.0,0.0,1.0,14,0,6,3,2200.0
,38.0,1.0,1.0,1.0,0.0,14,0,6,3,2100.0
350.0,196.0,4.0,4.0,2.0,13.0,13,0,7,1,5500.0
300.0,85.0,3.0,2.0,0.0,0.0,12,0,6,2,3800.0
,75.0,2.0,2.0,1.0,5.0,3,0,6,1,3400.0
500.0,62.0,2.0,2.0,1.0,1.0,9,0,7,2,3230.0
,90.0,3.0,2.0,1.0,1.0,4,0,5,2,2000.0
,40.0,1.0,1.0,0.0,0.0,7,0,6,3,3000.0
150.0,35.0,1.0,1.0,0.0,0.0,12,1,8,2,2300.0
150.0,50.0,1.0,1.0,0.0,15.0,13,0,7,1,1600.0
,190.0,4.0,3.0,0.0,13.0,7,0,7,1,3600.0
350.0,65.0,1.0,1.0,1.0,18.0,5,0,7,1,2900.0
,70.0,3.0,2.0,1.0,0.0,31,0,6,3,2700.0
190.0,52.0,1.0,1.0,0.0,2.0,13,1,8,3,2030.0
300.0,65.0,3.0,2.0,1.0,3.0,14,1,4,4,3100.0
500.0,61.0,2.0,2.0,1.0,0.0,11,0,7,2,3400.0
,71.0,2.0,2.0,0.0,9.0,17,0,6,3,2300.0
,40.0,1.0,1.0,0.0,0.0,9,0,6,2,1200.0
150.0,120.0,3.0,2.0,1.0,10.0,2,0,9,1,3500.0
200.0,60.0,2.0,2.0,1.0,7.0,11,0,8,4,2500.0
570.0,147.0,3.0,3.0,1.0,45.0,3,0,7,1,4400.0
,78.0,1.0,1.0,0.0,40.0,6,0,8,2,2200.0
