precio_pen,mantenimiento_soles,area_m2,num_dorm,num_banios,num_estac,antiguedad,zona_apeim_cod
4237.0,330.0,85.0,2.0,2.0,,,7.0
3700.0,380.0,90.0,2.0,2.0,1.0,6.0,7.0
3740.0,380.0,105.0,3.0,2.0,1.0,12.0,7.0
3416.0,290.0,51.0,1.0,1.0,1.0,10.0,7.0
3100.0,350.0,80.0,3.0,2.0,1.0,10.0,7.0
4380.0,350.0,140.0,3.0,2.0,2.0,20.0,7.0
3800.0,345.0,83.0,2.0,2.0,1.0,2.0,7.0
4100.0,600.0,100.0,2.0,2.0,2.0,5.0,7.0
4015.0,350.0,108.0,2.0,2.0,1.0,15.0,7.0
3222.0,,113.0,3.0,2.0,1.0,16.0,7.0
3700.0,400.0,100.0,2.0,2.0,,14.0,7.0
3122.0,350.0,105.0,2.0,3.0,1.0,3.0,7.0
4356.0,450.0,175.0,3.0,3.0,1.0,4.0,7.0
4560.0,400.0,80.0,1.0,1.0,2.0,3.0,7.0
3400.0,233.0,100.0,3.0,2.0,1.0,17.0,7.0
4380.0,500.0,82.0,2.0,2.0,1.0,3.0,7.0
4392.0,480.0,123.0,3.0,3.0,1.0,8.0,7.0
3700.0,350.0,85.0,2.0,1.0,1.0,7.0,7.0
4070.0,545.0,99.0,2.0,3.0,1.0,21.0,7.0
4004.0,300.0,80.0,2.0,2.0,1.0,6.0,7.0
4050.0,400.0,105.0,3.0,3.0,1.0,13.0,7.0
3468.0,630.0,95.0,2.0,2.0,1.0,10.0,7.0
3500.0,400.0,72.0,2.0,2.0,1.0,0.0,7.0
3200.0,450.0,78.0,2.0,2.0,1.0,16.0,7.0
4464.0,500.0,85.0,2.0,2.0,,2.0,7.0
3800.0,320.0,70.0,2.0,1.0,1.0,7.0,7.0
3885.0,820.0,84.0,2.0,1.0,1.0,8.0,7.0
4440.0,450.0,90.0,3.0,2.0,1.0,8.0,7.0
4000.0,500.0,81.0,2.0,2.0,1.0,5.0,7.0
3700.0,450.0,125.0,2.0,2.0,1.0,47.0,7.0
3380.0,528.0,62.0,2.0,2.0,,0.0,7.0
3660.0,350.0,90.0,2.0,2.0,2.0,7.0,7.0
4464.0,350.0,125.0,3.0,3.0,1.0,5.0,7.0
3111.0,350.0,90.0,2.0,2.0,,13.0,7.0
3650.0,260.0,75.0,2.0,2.0,,0.0,7.0
3358.0,480.0,135.0,3.0,3.0,1.0,5.0,7.0
3499.0,350.0,125.0,3.0,3.0,1.0,6.0,7.0
4270.0,450.0,125.0,3.0,2.0,1.0,5.0,7.0
3358.0,360.0,135.0,2.0,2.0,1.0,5.0,7.0
4440.0,550.0,130.0,3.0,3.0,1.0,5.0,7.0
4380.0,540.0,101.0,2.0,2.0,1.0,,7.0
4048.0,460.0,120.0,3.0,2.0,1.0,4.0,7.0
4103.0,400.0,110.0,3.0,2.0,1.0,3.0,7.0
3580.0,380.0,110.0,2.0,2.0,,3.0,7.0
3330.0,350.0,82.0,2.0,2.0,1.0,17.0,7.0
3562.0,,170.0,2.0,2.0,,25.0,7.0
3380.0,360.0,120.0,3.0,2.0,1.0,10.0,7.0
3800.0,350.0,67.0,2.0,2.0,1.0,0.0,7.0
3515.0,350.0,90.0,3.0,2.0,1.0,,7.0
4150.0,420.0,120.0,3.0,3.0,1.0,1.0,7.0
4015.0,330.0,110.0,3.0,2.0,2.0,6.0,7.0
4400.0,380.0,95.0,2.0,2.0,1.0,4.0,7.0
4175.0,495.0,82.0,1.0,1.0,1.0,15.0,7.0
3900.0,,108.0,3.0,2.0,1.0,,7.0
3256.0,350.0,87.0,3.0,2.0,2.0,14.0,7.0
3557.0,450.0,110.0,3.0,3.0,1.0,10.0,7.0
3380.0,,62.0,2.0,2.0,,0.0,7.0
3700.0,430.0,95.0,2.0,2.0,1.0,5.0,7.0
3200.0,500.0,81.0,2.0,2.0,1.0,22.0,7.0
3330.0,439.0,130.0,2.0,2.0,1.0,5.0,7.0
3204.0,300.0,110.0,3.0,3.0,1.0,15.0,7.0
3400.0,360.0,68.0,2.0,2.0,1.0,2.0,7.0
4440.0,450.0,95.0,2.0,2.0,1.0,5.0,7.0
3285.0,,170.0,2.0,3.0,1.0,25.0,7.0
3251.0,,98.0,3.0,2.0,1.0,6.0,7.0
4050.0,360.0,117.0,1.0,1.0,1.0,15.0,7.0
3620.0,250.0,84.0,2.0,2.0,1.0,5.0,7.0
4500.0,490.0,90.0,1.0,2.0,1.0,19.0,7.0
3515.0,,90.0,3.0,2.0,1.0,16.0,7.0
4163.0,550.0,120.0,3.0,2.0,1.0,,7.0
3515.0,300.0,90.0,2.0,2.0,1.0,8.0,7.0
3600.0,600.0,104.0,2.0,2.0,1.0,5.0,7.0
3300.0,370.0,82.0,3.0,2.0,1.0,,7.0
4380.0,550.0,100.0,2.0,2.0,1.0,,7.0
4525.0,670.0,160.0,2.0,2.0,1.0,11.0,7.0
4440.0,300.0,140.0,5.0,4.0,1.0,15.0,7.0
4560.0,560.0,100.0,3.0,2.0,2.0,14.0,7.0
3700.0,480.0,100.0,2.0,2.0,2.0,15.0,7.0
4000.0,480.0,90.0,3.0,2.0,1.0,0.0,7.0
4550.0,350.0,100.0,1.0,2.0,1.0,2.0,7.0
4340.0,420.0,120.0,3.0,3.0,2.0,10.0,7.0
4450.0,300.0,105.0,2.0,2.0,1.0,3.0,7.0
4380.0,650.0,160.0,3.0,2.0,1.0,20.0,7.0
3600.0,650.0,120.0,3.0,,1.0,20.0,7.0
3420.0,370.0,110.0,2.0,2.0,1.0,14.0,7.0
4378.0,366.0,134.0,3.0,2.0,2.0,18.0,7.0
3960.0,,80.0,1.0,2.0,1.0,0.0,7.0
