,nombre,distrito,direccion,nivel__modalidad,gestion__dependencia,latitud,longitud
7583,bright meadows - praderas brillantes,san borja,jiron 9 184,inicial - cuna jardin,privada - particular,-12.092,-76.98231
7584,buen nacer nido,san borja,calle fray luis de leon 732,inicial - cuna jardin,privada - particular,-12.09914,-76.99954
7585,dias alegres,san borja,avenida jorge muelle 436,inicial - cuna jardin,privada - particular,-12.10799,-77.00395
7587,el mundo del nino 2,san borja,calle perugino 115,inicial - cuna jardin,privada - particular,-12.09849,-77.00408
7588,el osito,san borja,avenida van gogh 275,inicial - cuna jardin,privada - particular,-12.08739,-76.99295
7589,el vallecito 1,san borja,avenida van dick 281,inicial - cuna jardin,privada - particular,-12.08869,-76.99158
7590,entidad educativa s.s. bondy,san borja,avenida de las artes 1269,inicial - jardin,privada - particular,-12.08927,-76.99171
7593,entre semillitas,san borja,jiron pacaritambo 364,inicial - jardin,privada - particular,-12.10459,-76.98409
7596,green gables,san borja,tizziano 197-199,primaria,privada - particular,-12.0887,-77.0023
7598,happy home,san borja,calle jose maria sert 373,inicial - cuna jardin,privada - particular,-12.09232,-76.98954
7599,ines de salas de lopez de villoso,san borja,calle 39 127,inicial - cuna jardin,privada - particular,-12.10331,-77.01032
7601,kids first,san borja,jiron redon 134,inicial - cuna jardin,privada - particular,-12.09019,-76.99288
7602,la casa del bosque,san borja,avenida san borja sur 107,inicial - jardin,privada - particular,-12.09703,-77.0096
7603,la casita de luna,san borja,calle morelli 365,inicial - cuna jardin,privada - particular,-12.0919,-77.0037
7604,la casita de patty & lu,san borja,avenida lopez de ayala 1655,inicial - jardin,privada - particular,-12.09546,-76.99221
7607,liceo naval almirante guise,san borja,calle monti 300-350,inicial - jardin,publica - otro sector publico,-12.09672,-76.9997
7610,little angels nursery school,san borja,calle fray angelico 173,inicial - jardin,privada - particular,-12.0948,-76.99783
7611,little ones too,san borja,calle matamoro 170,inicial - cuna jardin,privada - particular,-12.10881,-76.98557
7614,maria molinari,san borja,avenida san borja sur 706,primaria,privada - particular,-12.10088,-76.99875
7619,marines,san borja,jiron horacio ballon 134,primaria,privada - particular,-12.08288,-76.99646
7621,mark twain,san borja,calle 29 198,inicial - cuna jardin,privada - particular,-12.09524,-76.98496
7623,mark twain school,san borja,calle 29 198,secundaria,privada - particular,-12.09524,-76.98496
7625,mi nuevo despertar,san borja,avenida angamos s/n mz h lote 40,inicial - jardin,privada - particular,-12.11109,-76.99494
7628,minimundo,san borja,calle las letras,inicial - cuna jardin,privada - particular,-12.08767,-77.0084
7629,ministerio de transportes y comunicaciones,san borja,calle de la ciencia 205,inicial - cuna jardin,publica - otro sector publico,-12.08553,-76.99876
7631,nidos bee bee,san borja,avenida san borja norte 947,inicial - cuna jardin,privada - particular,-12.09277,-76.99649
7639,pead liceo naval almirante guise,san borja,calle monti 300-350,inicial - jardin,publica - otro sector publico,-12.09672,-76.9997
7643,pequeno san borja,san borja,avenida eduardo ordonez 402,inicial - cuna jardin,privada - particular,-12.10593,-77.00228
7645,pintando un manana,san borja,avenida san luis 2646 mz e lote 07,inicial - cuna jardin,privada - particular,-12.102,-76.99474
7646,san borja,san borja,calle leo delibes 179,inicial - cuna jardin,privada - particular,-12.10277,-76.99905
7647,san francisco de borja,san borja,calle velasquez cuadra 3 s/n,inicial - jardin,privada - particular,-12.09097,-76.99747
7655,santa rosa de lima srl,san borja,avenida guardia civil 401,secundaria,privada - particular,-12.09267,-77.00893
7657,santisimo nombre de jesus,san borja,avenida mayorazgo 176,secundaria,privada - particular,-12.10851,-76.98173
7660,villa piccoli,san borja,jiron millet 151 mz h6 lote 03-04 etapa i sector f,inicial - jardin,privada - particular,-12.09065,-76.992
7661,nino activo,san borja,jiron eduardo ordonez johnson 119 mz e lote 3,inicial - jardin,privada - particular,-12.10568,-77.00883
7662,1051 el olivar,san isidro,calle prolong arenales 300,inicial - jardin,publica - sector educacion,-12.1021,-77.0332
7664,1071 alfonso ugarte,san isidro,avenida paseo de la republica 3530,primaria,publica - sector educacion,-12.09905,-77.02662
7668,138 mi casita de sorpresas,san isidro,calle 32 174,inicial - cuna jardin,publica - otro sector publico,-12.10804,-77.01388
7670,amigos de gonzaga,san isidro,jiron juan polar 130,inicial - jardin,privada - particular,-12.0954,-77.05703
7671,berkeley school,san isidro,jiron juan elespuru 402,primaria,privada - particular,-12.09638,-77.05388
7674,brighton nursery school,san isidro,calle juan dellepiani 655,inicial - cuna jardin,privada - particular,-12.10471,-77.05572
7675,caminito,san isidro,calle 32 225,inicial - jardin,privada - particular,-12.10765,-77.01321
7676,chiquitines,san isidro,calle ugarte y moscoso 958,inicial - cuna jardin,privada - particular,-12.10145,-77.05891
7677,cri - arte,san isidro,calle juan cavero 180,inicial - cuna jardin,privada - particular,-12.10197,-77.03653
7680,de los sagrados corazones belen,san isidro,avenida alvarez calderon 761,primaria,privada - particular,-12.10346,-77.04653
7683,friendship high school,san isidro,calle la habana 155,primaria,privada - particular,-12.09952,-77.03157
7685,garabatos,san isidro,avenida los laureles 447,inicial - cuna jardin,privada - particular,-12.09664,-77.0457
7686,garabatos 3,san isidro,calle manuel ugarte y moscoso 620,inicial - cuna jardin,privada - particular,-12.09787477,-77.05709696
7692,john neper,san isidro,avenida jose galvez barrenechea 525,secundaria,privada - particular,-12.09636,-77.01262
7695,kangurito,san isidro,calle carlos concha 190,inicial - cuna jardin,privada - particular,-12.10421,-77.05665
7697,la tia carmela,san isidro,calle los cedros 625,inicial - cuna jardin,privada - particular,-12.09781,-77.04334
7698,las garzas,san isidro,calle las garzas 421,inicial - jardin,privada - particular,-12.1013,-77.02511
7699,leon pinelo,san isidro,calle maimonides 610,inicial - cuna jardin,privada - particular,-12.10156,-77.05258
7702,little ones,san isidro,calle hermilio hernandez 154-160,inicial - cuna jardin,privada - particular,-12.10075,-77.03303
7703,magic world,san isidro,calle 26 170,inicial - cuna jardin,privada - particular,-12.10596,-77.01399
7704,maria reina marianistas,san isidro,avenida pardo y aliaga 321,secundaria,privada - particular,-12.10773,-77.0361
7707,montealto,san isidro,avenida los eucaliptos 491,secundaria,privada - particular,-12.09696,-77.04796
7709,my world,san isidro,calle 19 105,inicial - jardin,privada - particular,-12.09607,-77.01449
7711,nido paind,san isidro,avenida guillermo prescott 145,inicial - cuna jardin,privada - particular,-12.09223,-77.0477
7712,nuestra senora de la luz,san isidro,calle coronel odriozola 580,primaria,privada - parroquial,-12.09777,-77.02996
7715,palitroques,san isidro,avenida jose galvez barrenechea 191,inicial - cuna jardin,privada - particular,-12.09142,-77.01356
